images\med_7d5c2b99_013.png	carbimazole 5mg
images\med_8fb8564a_009.png	SALBUTAMOL 100MCG
images\med_2171bf1c_000.png	Pregabalin 75mg
images\med_cb7204d4_013.png	DYDROGESTERONE
images\med_22377fd2_018.png	Aspirin
images\med_c4dace63_023.png	50mg
images\med_db3d2896_006.png	Voveran 50mg Tablet
images\med_0133a0cb_004.png	LOSARTAN 50MG TABLET
images\med_34c88a9e_026.png	SITAGLIPTIN 100MG
images\med_c4dace63_009.png	Sumatriptan Succinate
images\med_dfe5d351_026.png	ChloroquinePhosphate
images\med_3b9ad30b_011.png	AmitriptylineHCl
images\med_0133a0cb_000.png	50MG
images\med_9d7fdef9_001.png	RevitalCapsuleCapsule
images\med_63bdcdad_003.png	MoxifloxacinHCl
images\med_c126403b_014.png	cipla
images\med_1e668cd4_018.png	telmisartan 40mg
images\med_b8518679_015.png	GLIMEPIRIDE 2MG TABLET
images\med_e93a0754_008.png	DOLO 650MG TABLET
images\med_ee8e2396_002.png	Falcigo 200 mg Tablet
images\med_de61ea08_017.png	MANKIND PHARMA
images\med_2291c346_002.png	AbbottIndia
images\med_2d223f42_027.png	250MG
images\med_89cd823e_001.png	BAYER INDIA
images\med_9d7fdef9_000.png	REVITAL CAPSULE CAPSULE
images\med_0abbc03e_005.png	sun pharma
images\med_e37fc85a_004.png	Fluconazole 150mg
images\med_11787c7d_011.png	ferrous sulphate
images\med_97e744bf_007.png	Cetirizine HCl
images\med_07dac638_018.png	VitaminB-Complex
images\med_2ae45ccf_004.png	amlodipine besylate
images\med_34c88a9e_022.png	januvia 100mg tablet
images\med_738912bb_017.png	5MG
images\med_7cbe86e2_020.png	Crocin 500 mg Tablet
images\med_2aefc1e7_010.png	500mg
images\med_5a6bf418_011.png	levothyroxine 50mcg
images\med_0f1728cf_005.png	PFIZER INDIA
images\med_be0f137d_002.png	Shelcal 500 mg Tablet
images\med_280c681a_019.png	Levonorgestrel 1.5Mg
images\med_dfe5d351_028.png	lariago 250mg tablet
images\med_696ae1bd_015.png	60000 Iu
images\med_659bda0a_007.png	warfarin 5mg tablet
images\med_2ae45ccf_016.png	SUN PHARMA
images\med_7d0f40c9_024.png	NORFLOXACIN 400MG
images\med_c6d7e0de_011.png	LACTULOSE
images\med_5a94c15f_003.png	clotrimazole 1% cream
images\med_5a846311_026.png	75Mg
images\med_22377fd2_012.png	ASPIRIN 75MG
images\med_0abbc03e_007.png	SunPharma
images\med_43698167_012.png	spironolactone
images\med_89cd823e_017.png	250 mg + 150 mg + 50 mg
images\med_d9dc56e0_017.png	GSKIndia
images\med_db3d2896_018.png	Voveran 50 mg
images\med_63bdcdad_015.png	moxifloxacin eye drop eye drop
images\med_c6d7e0de_004.png	10G/15Ml
images\med_223d0157_008.png	Folic Acid
images\med_7c3ed740_004.png	ASTRAZENECA INDIA
images\med_c6d7e0de_027.png	solvay pharma india
images\med_3d1f6924_003.png	NeurobionForteTablet
images\med_294952e4_020.png	COMPOUND
images\med_1e668cd4_017.png	telma 40mg tablet
images\med_99374b8f_017.png	ReckittBenckiserIndia
images\med_99374b8f_010.png	Disprin 325Mg
images\med_da56c31b_000.png	Clonazepam0.5mgTablet
images\med_f9979576_003.png	Tramadol HCl 50 mg
images\med_7d5c2b99_024.png	Neomercazole 5 mg Tablet
images\med_280c681a_020.png	I-PILL 1.5MG TABLET
images\med_018099b1_014.png	JANSSEN INDIA
images\med_2ae45ccf_024.png	amlodipine 5mg tablet
images\med_f12eb12e_030.png	AstraZenecaIndia
images\med_febe41f1_006.png	Sertraline 50mg
images\med_c4dace63_020.png	SumatriptanSuccinate
images\med_f9979576_013.png	50Mg
images\med_8c9c87eb_013.png	Phenylephrine 10Mg
images\med_1bffb35a_010.png	Usv Pharma
images\med_0abbc03e_021.png	Alprazolam 0.5Mg
images\med_738912bb_018.png	5mg
images\med_06d5617a_018.png	Cifran500mg
images\med_5a6bf418_014.png	Eltroxin50mcgTablet
images\med_d95c2b97_029.png	USVPharma
images\med_5a846311_008.png	roche india
images\med_7d5c2b99_017.png	NEOMERCAZOLE 5MG TABLET
images\med_b65b6f2d_012.png	AtorvastatinCalcium10mg
images\med_59978ce5_002.png	BENADRYL COUGH SYRUP SYRUP
images\med_4bd10aff_009.png	NOVARTIS INDIA
images\med_21924655_007.png	Dexamethasone 0.5 mg Tablet
images\med_7cbe86e2_021.png	GSKIndia
images\med_34c88a9e_005.png	100MG
images\med_cb17285c_020.png	pfizer india
images\med_2ae45ccf_005.png	amlodipine 5mg
images\med_cb17285c_008.png	GELUSIL MPS
images\med_280c681a_024.png	Piramal Healthcare
images\med_22377fd2_028.png	aspirin
images\med_c0648a4e_024.png	Alendronate 70Mg Tablet
images\med_a9a99c83_013.png	0.4 mg
images\med_2171bf1c_016.png	Sun Pharma
images\med_63bdcdad_016.png	Moxifloxacin Eye Drop Eye Drop
images\med_294952e4_012.png	grilinctus syrup syrup
images\med_e7334590_022.png	Cipla
images\med_e7334590_005.png	Doxycycline 100Mg Capsule
images\med_6678f79a_025.png	allegra 120mg
images\med_d95c2b97_022.png	1000Mg
images\med_68cbc105_029.png	Augmentin 625Mg Tablet
images\med_be0f137d_027.png	Elder Pharma
images\med_933bc2d8_004.png	ORSElectralPowderPowder
images\med_9b4b4ce2_005.png	PfizerIndia
images\med_99374b8f_002.png	Aspirin 325Mg
images\med_89cd823e_007.png	250mg + 150mg + 50mg
images\med_f12eb12e_011.png	Astrazeneca India
images\med_ee8e2396_026.png	200mg
images\med_3d1f6924_000.png	Standard
images\med_5a94c15f_001.png	BAYER INDIA
images\med_c6d7e0de_017.png	Lactulose 10g/15ml
images\med_22377fd2_014.png	75MG
images\med_8a5e5f83_018.png	Sun Pharma
images\med_da56c31b_009.png	SunPharma
images\med_7cbe86e2_022.png	Paracetamol500mg
images\med_6678f79a_022.png	Sanofi India
images\med_280c681a_001.png	levonorgestrel
images\med_635f0b97_015.png	N-ACETYLCYSTEINE
images\med_280c681a_007.png	1.5mg
images\med_0b20efea_017.png	MankindPharma
images\med_7dad208c_009.png	omez 20mg capsule
images\med_a9a99c83_024.png	Tamsulosin HCl 0.4 mg
images\med_9cb4a48b_026.png	10Mg
images\med_289b4229_003.png	GSK INDIA
images\med_2171bf1c_010.png	PREGABALIN
images\med_e37fc85a_011.png	fluconazole 150mg
images\med_7dad208c_027.png	dr. reddy's
images\med_933bc2d8_016.png	oral rehydration salts
images\med_9b4b4ce2_025.png	5mg
images\med_68cbc105_015.png	Gsk India
images\med_68cbc105_007.png	625 mg
images\med_6678f79a_026.png	SANOFI INDIA
images\med_a960b0ea_005.png	Phenytoin100mg
images\med_8f908c02_028.png	LANTUS 100IU
images\med_64f45aaa_010.png	Furosemide 40Mg Tablet
images\med_696ae1bd_020.png	Vitamin D3 60000 IU Capsule
images\med_5a846311_006.png	OSELTAMIVIR PHOSPHATE
images\med_168cba08_005.png	Promethazine Hcl
images\med_e7334590_007.png	Doxycycline 100 mg
images\med_db3d2896_015.png	DiclofenacSodium50mg
images\med_a8d76f91_013.png	NORETHISTERONE + ETHINYL ESTRADIOL
images\med_5d008352_024.png	20Mg
images\med_35bc51a1_003.png	pantop 40mg tablet
images\med_635f0b97_017.png	N-Acetylcysteine 600Mg
images\med_c4dace63_028.png	sumatriptan succinate
images\med_89cd823e_014.png	SARIDON TABLET
images\med_07dac638_008.png	BecosulesCapsuleCapsule
images\med_1bffb35a_007.png	MetforminHCl500mg
images\med_e37fc85a_005.png	FLUCONAZOLE 150MG
images\med_c0648a4e_019.png	Alendronic Acid 70Mg
images\med_b65b6f2d_013.png	SUN PHARMA
images\med_dfe5d351_022.png	LARIAGO 250MG
images\med_f162e9c8_010.png	Olmesartan 20Mg
images\med_1e668cd4_007.png	Telmisartan 40 mg
images\med_8c9c87eb_007.png	Phenylephrine 10 mg
images\med_2ae45ccf_017.png	AMLODIPINE BESYLATE
images\med_289b4229_008.png	Albendazole 400 mg
images\med_738912bb_004.png	Olanzapine 5Mg
images\med_cc016fbc_019.png	azithromycin
images\med_dfe5d351_003.png	lariago 250mg
images\med_ff4cc516_022.png	InsulinIsophane(NPH)
images\med_4bd10aff_026.png	Vildagliptin 50Mg
images\med_e0edd5c4_021.png	Cefixime 200mg Tablet
images\med_f12eb12e_001.png	rosuvastatin calcium
images\med_e0edd5c4_007.png	CEFIXIME 200MG TABLET
images\med_8c9c87eb_001.png	Johnson & Johnson India
images\med_289b4229_006.png	Zentel 400mg
images\med_ee8e2396_007.png	Falcigo200mg
images\med_35bc51a1_014.png	Pantoprazole40mg
images\med_59978ce5_003.png	BENADRYL COUGH SYRUP
images\med_64f45aaa_011.png	40 mg
images\med_8f908c02_027.png	lantus 100iu
images\med_0f285d70_000.png	BetnovateCreamCream
images\med_e7334590_021.png	100mg
images\med_febe41f1_016.png	Sertraline50mgTablet
images\med_a960b0ea_016.png	100 mg
images\med_0f1728cf_003.png	PfizerIndia
images\med_cc016fbc_015.png	Azithromycin 500mg
images\med_738912bb_007.png	sun pharma
images\med_da56c31b_021.png	Clonazepam 0.5Mg Tablet
images\med_9cb4a48b_007.png	Montair 10Mg Tablet
images\med_f9979576_020.png	Tramadol 50Mg Tablet
images\med_2d223f42_011.png	Terbinafine250mg
images\med_5a94c15f_002.png	clotrimazole 1% cream cream
images\med_5a846311_014.png	OSELTAMIVIR 75MG CAPSULE
images\med_294952e4_018.png	Grilinctus Syrup
images\med_c4bbc34a_011.png	Domperidone 10 mg
images\med_fed4f81f_019.png	10MG
images\med_3a1940c1_005.png	Ranitidine 150Mg Tablet
images\med_b3b2663f_021.png	ETOFYLLINE + THEOPHYLLINE 150MG + 25MG
images\med_fed4f81f_024.png	Jardiance 10 mg
images\med_e93a0754_010.png	Micro Labs
images\med_635f0b97_002.png	n-acetylcysteine 600mg
images\med_8efa4f6a_002.png	Thyronorm 100Mcg
images\med_99374b8f_006.png	325Mg
images\med_d9dc56e0_012.png	Nitrofurantoin 100Mg Capsule
images\med_befd0233_009.png	NOVARTIS INDIA
images\med_21924655_003.png	Dexamethasone 0.5Mg
images\med_cb17285c_014.png	STANDARD
images\med_e0edd5c4_018.png	MANKIND PHARMA
images\med_8c9c87eb_005.png	JOHNSON & JOHNSON INDIA
images\med_fed4f81f_008.png	Empagliflozin 10 mg
images\med_68cbc105_022.png	Augmentin 625 mg Tablet
images\med_db3d2896_002.png	Diclofenac Sodium 50mg
images\med_ecd67f3a_000.png	Johnson & Johnson India
images\med_06d5617a_001.png	Cifran 500 mg
images\med_3a1940c1_011.png	RanitidineHCl150mg
images\med_59978ce5_006.png	diphenhydramine + ammonium chloride + sodium citrate compound
images\med_2d223f42_025.png	Terbinafine 250Mg Tablet
images\med_289b4229_023.png	ZENTEL 400MG
images\med_a8d76f91_003.png	Norethisterone + Ethinyl Estradiol 1mg + 0.035mg
images\med_a9a99c83_002.png	Tamsulosin 0.4Mg
images\med_7dad208c_023.png	omeprazole 20mg
images\med_cb17285c_011.png	AluminiumHydroxide+MagnesiumHydroxide+Simethicone
images\med_0f285d70_016.png	GSKIndia
images\med_9b4b4ce2_004.png	Wysolone 5mg Tablet
images\med_db3d2896_017.png	50mg
images\med_9d7fdef9_020.png	revital capsule
images\med_ca0a8ab3_001.png	Clindamycin 300mg
images\med_3a1940c1_006.png	Ranitidine150mgTablet
images\med_d95c2b97_025.png	Metformin Hcl
images\med_a960b0ea_011.png	Phenytoin 100Mg
images\med_68cbc105_003.png	625MG
images\med_68cbc105_027.png	Augmentin 625mg Tablet
images\med_4bd10aff_028.png	GALVUS 50MG
images\med_9b1b6f11_002.png	acyclovir 400mg
images\med_7f6dd7f5_008.png	Brufen 400 mg Tablet
images\med_cb7204d4_008.png	DYDROGESTERONE 10MG
images\med_8efa4f6a_003.png	Thyronorm100mcgTablet
images\med_49978219_001.png	Ramipril 5Mg Tablet
images\med_8f908c02_015.png	Insulin Glargine
images\med_ee8e2396_008.png	Artesunate 200 mg
images\med_3a1940c1_014.png	150MG
images\med_64f45aaa_001.png	Furosemide 40 mg
images\med_befd0233_018.png	Calcium Sandoz 500mg Tablet
images\med_2ae45ccf_010.png	SunPharma
images\med_2ae45ccf_015.png	Amlodipine 5 mg Tablet
images\med_6678f79a_006.png	Allegra120mgTablet
images\med_2aefc1e7_023.png	ranbaxy
images\med_be0f137d_020.png	SHELCAL 500MG TABLET
images\med_81d90895_015.png	60000 Iu
images\med_ff4cc516_029.png	Huminsulin N 100Iu Injection
images\med_db966d24_016.png	Cipla
images\med_168cba08_028.png	SANOFI INDIA
images\med_8d46c2a1_004.png	Atenolol 50Mg Tablet
images\med_febe41f1_001.png	Sertraline 50 mg
images\med_3d1f6924_013.png	STANDARD
images\med_7c3ed740_027.png	AstraZeneca India
images\med_c4bbc34a_006.png	DOMPERIDONE
images\med_da56c31b_012.png	CLONAZEPAM 0.5MG
images\med_659bda0a_010.png	Warfarin 5mg
images\med_9b4b4ce2_000.png	5Mg
images\med_d9dc56e0_018.png	NITROFURANTOIN 100MG
images\med_9d7fdef9_015.png	revital capsule capsule
images\med_25d144ba_017.png	ondansetron
images\med_018099b1_016.png	2mg
images\med_0b20efea_020.png	Nimesulide100mg
images\med_9cb4a48b_018.png	montelukast 10mg
images\med_22377fd2_001.png	usv pharma
images\med_d95c2b97_028.png	METFORMIN HCL
images\med_b65b6f2d_014.png	atorvastatin calcium
images\med_49978219_005.png	5 mg
images\med_0133a0cb_014.png	50Mg
images\med_68cbc105_011.png	Amoxicillin + Clavulanate 625Mg
images\med_5d008352_020.png	fluoxetine hcl
images\med_280c681a_026.png	piramal healthcare
images\med_c4c13132_020.png	Digoxin 0.25mg
images\med_c0648a4e_020.png	alendronic acid
images\med_b65b6f2d_022.png	10MG
images\med_f12eb12e_003.png	10mg
images\med_43698167_008.png	Spironolactone 25mg
images\med_e37fc85a_013.png	Fluconazole 150mg Capsule
images\med_ca0a8ab3_011.png	PFIZER INDIA
images\med_e93a0754_007.png	Dolo 650mg Tablet
images\med_ff4cc516_018.png	Insulin Isophane (NPH)
images\med_9b1b6f11_003.png	ACYCLOVIR 400MG TABLET
images\med_c0648a4e_010.png	70 mg
images\med_c4dace63_017.png	Sumatriptan Succinate 50Mg
images\med_ca0a8ab3_026.png	pfizer india
images\med_da56c31b_002.png	CLONAZEPAM
images\med_738912bb_014.png	Olanzapine 5 mg
images\med_ff4cc516_014.png	Insulin Isophane (NPH) 100 IU/ml
images\med_f12eb12e_024.png	10MG
images\med_635f0b97_027.png	Mucinac 600Mg
images\med_7c3ed740_030.png	AstraZenecaIndia
images\med_da56c31b_004.png	Clonazepam 0.5Mg
images\med_3b9ad30b_022.png	25Mg
images\med_e93a0754_017.png	Dolo 650Mg
images\med_5a94c15f_018.png	Clotrimazole 1% Cream
images\med_63bdcdad_022.png	MoxifloxacinEyeDropEyeDrop
images\med_d95c2b97_023.png	glycomet 1gm tablet
images\med_db3d2896_005.png	Voveran 50Mg
images\med_f12eb12e_023.png	Rosuvastatin Calcium 10 mg
images\med_4bd10aff_019.png	Galvus 50 mg
images\med_b3b2663f_004.png	Deriphyllin Retard Tablet
images\med_5d008352_007.png	FLUOXETINE HCL 20MG
images\med_cb7204d4_004.png	Dydrogesterone
images\med_9b4b4ce2_026.png	Prednisolone5mg
images\med_43698167_013.png	25Mg
images\med_b3b2663f_000.png	Etofylline + Theophylline 150 mg + 25 mg
images\med_d9dc56e0_014.png	gsk india
images\med_280c681a_012.png	1.5 mg
images\med_be0f137d_018.png	SHELCAL 500MG
images\med_c4dace63_011.png	Sumatriptan 50Mg Tablet
images\med_db3d2896_013.png	Novartis India
images\med_b3b2663f_025.png	Etofylline + Theophylline 150Mg + 25Mg
images\med_e37fc85a_002.png	150Mg
images\med_2171bf1c_013.png	Pregabalin 75 mg Capsule
images\med_a960b0ea_013.png	PFIZER INDIA
images\med_5a846311_018.png	ROCHE INDIA
images\med_54eb2f38_013.png	400mg+325mg
images\med_c0648a4e_009.png	70Mg
images\med_2ae45ccf_023.png	5MG
images\med_f12eb12e_022.png	Rosuvastatin 10mg Tablet
images\med_99374b8f_019.png	Aspirin
images\med_c126403b_013.png	Donepezil HCl 5mg
images\med_5a94c15f_005.png	CLOTRIMAZOLE 1%
images\med_e7334590_017.png	DOXYCYCLINE 100MG CAPSULE
images\med_b8518679_022.png	SANOFI INDIA
images\med_9b4b4ce2_023.png	Prednisolone 5mg
images\med_5a94c15f_008.png	BayerIndia
images\med_7c8a8df6_007.png	Metronidazole 400Mg
images\med_64f45aaa_008.png	SanofiIndia
images\med_7dad208c_029.png	Omez 20mg Capsule
images\med_168cba08_027.png	25 mg
images\med_59978ce5_008.png	DIPHENHYDRAMINE + AMMONIUM CHLORIDE + SODIUM CITRATE
images\med_7c8a8df6_026.png	Metronidazole400mg
images\med_e37fc85a_008.png	Fluconazole 150 mg
images\med_89cd823e_012.png	250MG + 150MG + 50MG
images\med_f162e9c8_009.png	Olsar 20 mg Tablet
images\med_ee8e2396_027.png	Falcigo 200Mg Tablet
images\med_c6d7e0de_008.png	Lactulose 10 g Syrup
images\med_54eb2f38_015.png	CombiflamTablet
images\med_ff4cc516_015.png	huminsulin n 100iu injection
images\med_fed4f81f_002.png	Empagliflozin 10mg
images\med_c4dace63_013.png	50Mg
images\med_1bffb35a_028.png	Metformin 500mg Tablet
images\med_1e668cd4_010.png	Telma 40Mg
images\med_f12eb12e_028.png	AstraZeneca India
images\med_0f285d70_007.png	betamethasone valerate
images\med_1e668cd4_025.png	Telmisartan 40Mg
images\med_b65b6f2d_015.png	atorvastatin 10mg
images\med_b65b6f2d_018.png	Atorvastatin10mgTablet
images\med_59978ce5_010.png	Compound
images\med_0f285d70_005.png	Betamethasone Valerate 0.1%
images\med_e0edd5c4_011.png	Cefixime 200mg
images\med_2291c346_020.png	LiquidParaffin+MilkofMagnesiaCompound
images\med_7d0f40c9_010.png	NORFLOX 400MG
images\med_b65b6f2d_016.png	Atorvastatin Calcium 10 mg
images\med_c6d7e0de_015.png	lactulose 10g/15ml
images\med_0f285d70_015.png	BETNOVATE CREAM
images\med_0f1728cf_008.png	Pfizer India
images\med_db3d2896_020.png	Voveran 50mg
images\med_c6d7e0de_007.png	lactulose 10g syrup syrup
images\med_cc016fbc_018.png	Azithral 500mg
images\med_5a846311_017.png	75MG
images\med_22377fd2_006.png	Ecosprin75mgTablet
images\med_2aefc1e7_020.png	mox 500mg
images\med_49978219_003.png	ramipril
images\med_cb17285c_016.png	Gelusil MPS Tablet
images\med_8fb8564a_004.png	Salbutamol
images\med_07dac638_000.png	Vitamin B-Complex
images\med_c4c13132_011.png	Digoxin
images\med_7cbe86e2_017.png	Crocin500mg
images\med_0abbc03e_022.png	0.5MG
images\med_63bdcdad_011.png	Moxifloxacin HCl
images\med_8efa4f6a_008.png	thyronorm 100mcg
images\med_b65b6f2d_005.png	Atorvastatin 10 mg
images\med_e93a0754_022.png	paracetamol 650mg
images\med_1bffb35a_016.png	metformin 500mg
images\med_635f0b97_021.png	MUCINAC 600MG EFFERVESCENT TABLET
images\med_7f6dd7f5_000.png	brufen 400mg tablet
images\med_c4dace63_007.png	Sumatriptan 50 mg
images\med_59978ce5_000.png	DIPHENHYDRAMINE + AMMONIUM CHLORIDE + SODIUM CITRATE COMPOUND
images\med_fed4f81f_021.png	Jardiance10mgTablet
images\med_d9dc56e0_010.png	Gsk India
images\med_d9dc56e0_008.png	Nitrofurantoin 100 mg
images\med_f12eb12e_007.png	astrazeneca india
images\med_7d5c2b99_016.png	carbimazole
images\med_07dac638_019.png	VITAMIN B-COMPLEX STANDARD
images\med_8c9c87eb_015.png	phenylephrine
images\med_738912bb_010.png	Olanzapine 5mg Tablet
images\med_c4dace63_010.png	Sumatriptan 50 mg Tablet
images\med_9cb4a48b_012.png	Montair 10Mg
images\med_7cbe86e2_029.png	Crocin 500mg Tablet
images\med_54eb2f38_005.png	Ibuprofen + Paracetamol 400Mg + 325Mg
images\med_befd0233_027.png	CALCIUM CARBONATE
images\med_a960b0ea_017.png	phenytoin 100mg tablet
images\med_c4c13132_004.png	0.25Mg
images\med_9d7fdef9_010.png	Multivitamin+Multiminerals
images\med_0b20efea_012.png	Nimesulide 100 mg
images\med_febe41f1_017.png	SERTRALINE HCL 50MG
images\med_b65b6f2d_025.png	10Mg
images\med_f162e9c8_023.png	Olsar 20mg Tablet
images\med_06d5617a_025.png	CIPROFLOXACIN 500MG
images\med_dfe5d351_011.png	IPCALaboratories
images\med_ee8e2396_005.png	Artesunate 200Mg
images\med_696ae1bd_006.png	Vitamin D3 60000 IU
images\med_d7548961_022.png	Gabapentin
images\med_49978219_019.png	5MG
images\med_c0648a4e_014.png	70MG
images\med_25d144ba_019.png	Sun Pharma
images\med_ca0a8ab3_027.png	Clindamycin HCl
images\med_ee8e2396_029.png	Falcigo 200 mg
images\med_280c681a_025.png	Levonorgestrel1.5mg
images\med_febe41f1_022.png	Sertraline 50mg Tablet
images\med_11787c7d_010.png	FerrousSulphate200mg
images\med_659bda0a_001.png	5Mg
images\med_99374b8f_018.png	Disprin 325mg Effervescent Tablet
images\med_fed4f81f_001.png	empagliflozin
images\med_8c9c87eb_022.png	SUDAFED PE
images\med_7d0f40c9_011.png	Norfloxacin 400Mg
images\med_f12eb12e_005.png	RosuvastatinCalcium10mg
images\med_9cb4a48b_000.png	CIPLA
images\med_34c88a9e_021.png	JANUVIA 100MG
images\med_b8518679_013.png	2mg
images\med_cb7204d4_021.png	Duphaston 10Mg Tablet
images\med_11787c7d_022.png	ferrous sulphate 200mg
images\med_89cd823e_000.png	Saridon Tablet Tablet
images\med_5d008352_015.png	FluoxetineHCl
images\med_8fb8564a_013.png	100mcg
images\med_8d46c2a1_000.png	CIPLA
images\med_fed4f81f_022.png	boehringer ingelheim
images\med_a960b0ea_009.png	Phenytoin Sodium
images\med_cb17285c_015.png	gelusil mps tablet
images\med_99374b8f_022.png	Disprin325mg
images\med_9b4b4ce2_018.png	prednisolone
images\med_0f285d70_006.png	0.1%
images\med_43698167_002.png	sun pharma
images\med_97e744bf_027.png	CETIRIZINE HCL 10MG
images\med_289b4229_019.png	400MG
images\med_de61ea08_007.png	Mankind Pharma
images\med_e0edd5c4_014.png	CEFIXIME 200MG
images\med_febe41f1_014.png	sertraline 50mg
images\med_6678f79a_027.png	FEXOFENADINE
images\med_db966d24_007.png	Salmeterol+Fluticasone
images\med_43698167_014.png	Spironolactone 25 mg Tablet
images\med_ecd67f3a_008.png	Retino-A0.025%CreamCream
images\med_34c88a9e_014.png	Januvia 100Mg Tablet
images\med_289b4229_027.png	Zentel400mgTablet
images\med_3b9ad30b_021.png	AMITRIPTYLINE HCL 25MG
images\med_f12eb12e_004.png	Rosuvastatin Calcium
images\med_a9a99c83_006.png	Tamsulosin 0.4mg
images\med_c4c13132_001.png	Digoxin 0.25Mg
images\med_da56c31b_008.png	0.5 mg
images\med_db966d24_006.png	SEROFLO 250 INHALER INHALER
images\med_ca0a8ab3_009.png	Clindamycin 300 mg Capsule
images\med_fed4f81f_013.png	Empagliflozin 10Mg
images\med_0f1728cf_007.png	Methylprednisolone
images\med_018099b1_000.png	Risperidone 2 mg Tablet
images\med_6678f79a_007.png	120MG
images\med_dfe5d351_021.png	Lariago 250 mg Tablet
images\med_1bffb35a_023.png	Metformin Hcl
images\med_2d223f42_030.png	TERBINAFINE HCL 250MG
images\med_2171bf1c_012.png	75 mg
images\med_d7548961_003.png	SunPharma
images\med_da56c31b_006.png	clonazepam 0.5mg tablet
images\med_0133a0cb_005.png	LOSARTAN POTASSIUM 50MG
images\med_7dad208c_019.png	OMEZ 20MG CAPSULE
images\med_ecd67f3a_003.png	tretinoin 0.025%
images\med_8b4252b2_008.png	Itraconazole 100Mg
images\med_8f908c02_014.png	Lantus 100Iu
images\med_11787c7d_009.png	Ferrous Sulphate 200mg Tablet
images\med_ee8e2396_012.png	Artesunate
images\med_1bffb35a_011.png	500MG
images\med_ee8e2396_015.png	IPCALaboratories
images\med_2d223f42_020.png	250 mg
images\med_f12eb12e_026.png	Rosuvastatin 10 mg
images\med_168cba08_007.png	Phenergan 25mg
images\med_dfe5d351_012.png	CHLOROQUINE PHOSPHATE
images\med_a8d76f91_001.png	1mg+0.035mg
images\med_49978219_015.png	Ramipril5mgTablet
images\med_738912bb_009.png	SunPharma
images\med_81d90895_000.png	calcirol 60000 iu
images\med_7c8a8df6_015.png	J.B. Chemicals
images\med_168cba08_013.png	25MG
images\med_43698167_006.png	25MG
images\med_8f908c02_017.png	InsulinGlargine
images\med_6678f79a_015.png	120mg
images\med_d95c2b97_007.png	Glycomet 1gm
images\med_696ae1bd_021.png	Cholecalciferol 60000 IU
images\med_ecd67f3a_018.png	Tretinoin0.025%
images\med_1e668cd4_001.png	telma 40mg
images\med_018099b1_021.png	Risperidone 2Mg
images\med_c126403b_016.png	Donepezil 5 mg Tablet
images\med_99374b8f_005.png	Aspirin 325mg
images\med_168cba08_010.png	PromethazineHCl
images\med_223d0157_006.png	Folic Acid 5Mg
images\med_07dac638_012.png	BecosulesCapsule
images\med_8fb8564a_018.png	100MCG
images\med_659bda0a_000.png	Warfarin 5 mg
images\med_9d7fdef9_012.png	standard
images\med_b8518679_011.png	Glimepiride2mg
images\med_b3b2663f_024.png	Etofylline+Theophylline150mg+25mg
images\med_97e744bf_000.png	CIPLA
images\med_b8518679_021.png	sanofi india
